,property,count,perc
0,Apartment,13013,0.5683773749727015
1,House,5967,0.26062459052194803
2,Townhouse,1434,0.0626337628303123
3,Serviced apartment,500,0.021838829438742085
4,Villa,326,0.014238916794059838
5,Guesthouse,536,0.023411225158331512
6,Other,1119,0.048875300283904785
