"MEASURE","Measure","REGIONTYPE","Geography Level","LGA_2018","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10050","Albury (C)","A","Annual","2011","2011",49451,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10050","Albury (C)","A","Annual","2012","2012",49785,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10050","Albury (C)","A","Annual","2013","2013",50338,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10050","Albury (C)","A","Annual","2014","2014",50990,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10050","Albury (C)","A","Annual","2015","2015",51486,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10050","Albury (C)","A","Annual","2016","2016",52171,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10050","Albury (C)","A","Annual","2017","2017",52989,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10050","Albury (C)","A","Annual","2018","2018",53767,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10130","Armidale Regional (A)","A","Annual","2001","2001",29058,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10130","Armidale Regional (A)","A","Annual","2002","2002",28920,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10130","Armidale Regional (A)","A","Annual","2003","2003",28739,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10130","Armidale Regional (A)","A","Annual","2004","2004",28524,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10130","Armidale Regional (A)","A","Annual","2005","2005",28459,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10130","Armidale Regional (A)","A","Annual","2006","2006",28479,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10130","Armidale Regional (A)","A","Annual","2007","2007",28599,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10130","Armidale Regional (A)","A","Annual","2008","2008",28923,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10130","Armidale Regional (A)","A","Annual","2009","2009",29281,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10130","Armidale Regional (A)","A","Annual","2010","2010",29524,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10130","Armidale Regional (A)","A","Annual","2011","2011",29678,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10130","Armidale Regional (A)","A","Annual","2012","2012",29836,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10130","Armidale Regional (A)","A","Annual","2013","2013",29983,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10130","Armidale Regional (A)","A","Annual","2014","2014",30085,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10130","Armidale Regional (A)","A","Annual","2015","2015",30193,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10130","Armidale Regional (A)","A","Annual","2016","2016",30313,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10130","Armidale Regional (A)","A","Annual","2017","2017",30617,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10130","Armidale Regional (A)","A","Annual","2018","2018",30707,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10250","Ballina (A)","A","Annual","2001","2001",37856,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10250","Ballina (A)","A","Annual","2002","2002",38417,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10250","Ballina (A)","A","Annual","2003","2003",38870,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10250","Ballina (A)","A","Annual","2004","2004",39120,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10250","Ballina (A)","A","Annual","2005","2005",39305,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10250","Ballina (A)","A","Annual","2006","2006",39537,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10250","Ballina (A)","A","Annual","2007","2007",39824,,
"ERP","Estimated Resident Population","LGA2018","Local Government Areas (2018)","10250","Ballina (A)","A","Annual","2008","2008",40020,,
